,new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
57,056_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, R","data science, Python, machine learning, p-value, pandas (the package, not the animal)",4.0,5.0
58,057_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",0.0,Communicate results concisely and effectively in reports and presentations,Java,"version control (i.e. git), GitHub, machine learning, confounding, p-value",10.0,9.0
59,057_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), A|B testing",10.0,9.0
60,058_fa21,1,,,,,,,
61,059_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,None of these,"Python, Java, MATLAB","GitHub, Python, Jupyter Notebooks",4.0,10.0
62,060_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,None of these,"Python, Java","version control (i.e. git), GitHub",4.0,10.0
63,061_fa21,1,"A functioning laptop or tablet, Access to YouTube",-7.0,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, R","data science, Python, Jupyter Notebooks, tabular data, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",7.0,8.0
64,062_fa21,1,,,,,,,
65,063_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","version control (i.e. git), GitHub, JSON",7.0,8.0
66,064_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7.0,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB, R","version control (i.e. git), GitHub, JSON, p-value",8.0,9.0
67,065_fa21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8.0,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Java,GitHub,6.0,6.0
